PING google.com (172.217.192.138) 56(84) bytes of data.
64 bytes from 172.217.192.138: icmp_seq=177 ttl=103 time=130 ms
64 bytes from 172.217.192.138: icmp_seq=178 ttl=103 time=45.5 ms
64 bytes from 172.217.192.138: icmp_seq=179 ttl=103 time=66.0 ms
64 bytes from 172.217.192.138: icmp_seq=180 ttl=103 time=86.1 ms
64 bytes from 172.217.192.138: icmp_seq=181 ttl=103 time=33.4 ms
64 bytes from 172.217.192.138: icmp_seq=182 ttl=103 time=124 ms
64 bytes from 172.217.192.138: icmp_seq=183 ttl=103 time=41.5 ms
64 bytes from 172.217.192.138: icmp_seq=184 ttl=103 time=61.6 ms
64 bytes from 172.217.192.138: icmp_seq=185 ttl=103 time=77.9 ms
64 bytes from 172.217.192.138: icmp_seq=186 ttl=103 time=96.5 ms
64 bytes from 172.217.192.138: icmp_seq=187 ttl=103 time=117 ms
64 bytes from 172.217.192.138: icmp_seq=188 ttl=103 time=134 ms
64 bytes from 172.217.192.138: icmp_seq=189 ttl=103 time=52.9 ms
64 bytes from 172.217.192.138: icmp_seq=190 ttl=103 time=71.8 ms
64 bytes from 172.217.192.138: icmp_seq=191 ttl=103 time=90.7 ms
64 bytes from 172.217.192.138: icmp_seq=192 ttl=103 time=212 ms
64 bytes from 172.217.192.138: icmp_seq=193 ttl=103 time=127 ms
64 bytes from 172.217.192.138: icmp_seq=194 ttl=103 time=43.6 ms
64 bytes from 172.217.192.138: icmp_seq=195 ttl=103 time=61.6 ms
64 bytes from 172.217.192.138: icmp_seq=196 ttl=103 time=84.7 ms
64 bytes from 172.217.192.138: icmp_seq=197 ttl=103 time=98.0 ms
64 bytes from 172.217.192.138: icmp_seq=198 ttl=103 time=69.4 ms
64 bytes from 172.217.192.138: icmp_seq=199 ttl=103 time=137 ms
64 bytes from 172.217.192.138: icmp_seq=200 ttl=103 time=56.1 ms
64 bytes from 172.217.192.138: icmp_seq=201 ttl=103 time=76.2 ms
64 bytes from 172.217.192.138: icmp_seq=202 ttl=103 time=96.4 ms
64 bytes from 172.217.192.138: icmp_seq=203 ttl=103 time=116 ms
64 bytes from 172.217.192.138: icmp_seq=204 ttl=103 time=137 ms
64 bytes from 172.217.192.138: icmp_seq=205 ttl=103 time=33.7 ms
64 bytes from 172.217.192.138: icmp_seq=206 ttl=103 time=75.5 ms
64 bytes from 172.217.192.138: icmp_seq=207 ttl=103 time=96.1 ms
64 bytes from 172.217.192.138: icmp_seq=208 ttl=103 time=114 ms
64 bytes from 172.217.192.138: icmp_seq=209 ttl=103 time=135 ms
