USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  24160 14420 ?        Ss   17:59   0:01 /sbin/init splash
kali        1451  0.0  0.3 340864 27596 ?        Sl   18:00   0:00 xfce4-power-manager
kali        1452  0.0  0.5 213848 38288 ?        Sl   18:00   0:01 xfce4-screensaver
kali        1456  0.0  0.0 308648  6932 ?        Sl   18:00   0:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1462  0.0  0.8 606288 62604 ?        Sl   18:00   0:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1469  0.0  0.2 191604 16772 ?        Sl   18:00   0:00 /usr/libexec/polkit-mate-authentication-agent-1
kali        1471  0.0  0.5  65048 40888 ?        S    18:00   0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
kali        1473  0.0  0.6 604856 51228 ?        Sl   18:00   0:01 nm-applet
kali        1476  0.0  0.0  12556  2180 ?        Ssl  18:00   0:00 xcape -e Super_L Control_L Escape
colord      1487  0.0  0.1 316140 14400 ?        Ssl  18:00   0:00 /usr/libexec/colord
kali        1621  0.0  0.5 354236 42288 ?        Ssl  18:00   0:02 /usr/libexec/bamf/bamfdaemon
kali        1625  0.0  0.1 391476 11364 ?        Ssl  18:00   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
kali        1629  0.0  0.8 1462712 63900 ?       Ssl  18:00   0:00 /usr/libexec/evolution-source-registry
root        1644  0.0  0.1 469996 13424 ?        Ssl  18:00   0:00 /usr/libexec/udisks2/udisksd
kali        1707  0.0  0.0 308984  7048 ?        Ssl  18:00   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1717  0.0  0.0 308032  6520 ?        Ssl  18:00   0:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1726  0.0  0.3 518016 25572 ?        Sl   18:00   0:00 /usr/libexec/goa-daemon
kali        1727  0.0  0.1 390148  8564 ?        Ssl  18:00   0:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1734  0.0  0.0 307956  6936 ?        Ssl  18:00   0:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1737  0.0  0.2 456588 22416 ?        Ssl  18:00   0:00 /usr/libexec/bluetooth/obexd
kali        1756  0.0  0.1 387828  9296 ?        Sl   18:00   0:00 /usr/libexec/goa-identity-service
kali        1791  0.0  0.3 894176 26324 ?        Ssl  18:00   0:00 /usr/libexec/evolution-calendar-factory
kali        1794  0.0  0.4 754344 31148 ?        Ssl  18:00   0:00 /usr/libexec/evolution-addressbook-factory
kali        1803  0.0  0.0 169088  6760 ?        Ssl  18:00   0:00 /usr/libexec/gvfsd-metadata
kali        1814  0.0  0.1 534872 10076 ?        Sl   18:00   0:00 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
kali        1883  4.0  5.0 34345652 374900 ?     SLl  18:00   2:38 /opt/google/chrome/chrome
kali        1888  0.0  0.0   5848  1728 ?        S    18:00   0:00 cat
kali        1889  0.0  0.0   5848  1656 ?        S    18:00   0:00 cat
kali        1891  0.0  0.0 33576432 3304 ?       Sl   18:00   0:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/kali/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=135.0.7049.114 --initial-client-fd=5 --shared-client-connection
kali        1893  0.0  0.0 33568220 3252 ?       Sl   18:00   0:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/kali/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=135.0.7049.114 --initial-client-fd=4 --shared-client-connection
kali        1899  0.0  0.8 33939928 64736 ?      S    18:00   0:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
kali        1900  0.0  0.8 33939916 64428 ?      S    18:00   0:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
kali        1902  0.0  0.2 33939940 19368 ?      S    18:00   0:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
kali        1926  2.9  2.7 34451280 206564 ?     Sl   18:00   1:54 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,7417401407181935316,6543924232452387328,262144 --variations-seed-version=20250506-050110.590000
kali        1928  0.4  1.7 33955768 128300 ?     Sl   18:00   0:16 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=es-419 --service-sandbox-type=none --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,7417401407181935316,6543924232452387328,262144 --variations-seed-version=20250506-050110.590000
kali        1940  0.0  0.7 33998744 59740 ?      Sl   18:00   0:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=es-419 --service-sandbox-type=utility --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,7417401407181935316,6543924232452387328,262144 --variations-seed-version=20250506-050110.590000
kali        2049  0.2  2.0 1461474484 152324 ?   Sl   18:00   0:11 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=1891 --enable-crash-reporter=, --extension-process --change-stack-guard-on-fork=enable --lang=es-419 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1746658743047573 --launch-time-ticks=67892352 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,7417401407181935316,6543924232452387328,262144 --variations-seed-version=20250506-050110.590000
root        2386  0.0  0.0      0     0 ?        I<   18:00   0:00 [kworker/u28:8-ttm]
kali        2630  0.0  1.0 33999128 79876 ?      Sl   18:00   0:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=es-419 --service-sandbox-type=none --crashpad-handler-pid=1891 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,7417401407181935316,6543924232452387328,262144 --variations-seed-version=20250506-050110.590000
